date,change,stability
2014-04-28,0.4633650291380865,1
2014-04-29,-0.1812947368321934,2
2014-04-30,-0.5982187806900772,2
2014-05-01,-0.05346392191256233,2
2014-05-02,0.07563713579335446,1
2014-05-05,-0.6402463681357872,2
2014-05-06,0.6291481558195771,1
2014-05-07,-0.3175475059309293,2
2014-05-08,-0.0265553641562645,2
2014-05-09,-0.23696326753258026,2
2014-05-12,-0.7485398832079945,2
2014-05-13,0.19465031527177487,1
2014-05-14,0.5235136828752952,1
2014-05-15,0.6322765891437591,1
2014-05-16,-0.3920293817276075,2
2014-05-19,-0.6249043126825955,2
2014-05-20,0.6633342035224938,1
2014-05-21,-0.3834786093544569,2
2014-05-22,-0.334189466454599,2
2014-05-23,-0.4019617578216728,2
2014-05-27,-0.21248689488939376,2
2014-05-28,0.09502588434038227,1
2014-05-29,-0.28122898249548345,2
2014-05-30,-0.2048058318527516,2
2014-06-02,-0.11199117323861817,2
2014-06-03,-0.2798765530229725,2
2014-06-04,-0.4849648589255958,2
2014-06-05,-0.5537512955266439,2
2014-06-06,-0.3144351781747642,2
2014-06-09,-0.08516353074655279,2
2014-06-10,0.015890012409164548,1
2014-06-11,0.03164334433714281,1
2014-06-12,0.524623393587088,1
2014-06-13,-0.20013188502623547,2
2014-06-16,-0.19679361801002768,2
2014-06-17,-0.5578509380885384,2
2014-06-18,-0.7239168889411861,2
2014-06-19,0.0404000395868289,1
2014-06-20,-0.02585491952763878,2
2014-06-23,0.117846782999771,1
2014-06-24,0.5079629232566586,1
2014-06-25,-0.6191775881176823,2
2014-06-26,0.14605800666859756,1
2014-06-27,-0.4704941584390393,2
2014-06-30,-0.09962625346383623,2
2014-07-01,-0.3848853161900705,2
2014-07-02,0.05097769097075933,1
2014-07-03,-0.31087391299971523,2
2014-07-07,0.2960203898435197,1
2014-07-08,0.3799528005250868,1
2014-07-09,-0.21311111687697876,2
2014-07-10,-0.6140983725749913,2
2014-07-11,-0.14033568449209402,2
2014-07-14,0.2192308852392609,1
2014-07-15,0.16490089507987055,1
2014-07-16,0.15220330636629487,1
2014-07-17,0.7612166030084341,1
2014-07-18,-0.7222559591291234,2
2014-07-21,-0.06016145758653304,2
2014-07-22,-0.132555764827891,2
2014-07-23,0.025707745813726927,1
2014-07-24,-0.009213335631155029,0
2014-07-25,0.1649344838941498,1
2014-07-28,0.017106166025976078,1
2014-07-29,0.6866543659550898,1
2014-07-30,0.40708816723579294,1
2014-07-31,1.1934212058561655,1
2014-08-01,-0.006456309447421134,0
2014-08-04,-0.4964623824362937,2
2014-08-05,0.4278339350453904,1
2014-08-06,-0.4569751589351712,2
2014-08-07,0.9787015433412792,1
2014-08-08,-1.1208351494078614,2
2014-08-11,0.065831778622222,1
2014-08-12,0.04875067503862083,1
2014-08-13,-0.4275385634041301,2
2014-08-14,-0.33306462253068203,2
2014-08-15,0.4661872087229227,1
2014-08-18,-0.3881312031551738,2
2014-08-19,-0.28413594270256004,2
2014-08-20,-0.4914797704880775,2
2014-08-21,-0.09455091085906707,2
2014-08-22,0.13923741463562028,1
2014-08-25,0.014013936322338548,1
2014-08-26,0.0636829492032332,1
2014-08-27,0.07925474892829205,1
2014-08-28,-0.3198479797393876,2
