,year,symbol,change in 12 months,PE,PEG,After Tax ROE,Gross Margin,Operating Margin,Profit Margin,Cash Ratio,changeLabel
537,2013,LEG,-16.05513165486259,21.60661801470588,-1.032316194035948,14.0,20.0,8.0,6.0,33.0,1
538,2014,LEG,-42.8862349683976,50.0,-1.0846463335496432,9.0,21.0,9.0,3.0,34.0,0
539,2015,LEG,6.177304276809205,18.411254761904765,0.07841830731922399,30.0,24.0,12.0,8.0,36.0,3
540,2014,LEN,1.7733642055874925,13.387820673076922,0.5187780510817308,13.0,19.0,12.0,8.0,74.4574898785425,2
541,2015,LEN,8.052687359698313,12.171835012919896,0.5063483365374677,14.0,18.0,11.0,8.0,74.4574898785425,3
542,2013,LH,-18.09522714417857,14.055817610062894,3.170367749825293,23.0,38.0,17.0,10.0,55.0,0
543,2013,LLL,-25.929953358344985,10.631034712643679,3.0830000666666804,13.0,10.0,10.0,7.0,20.0,0
544,2014,LLL,-19.126756245492007,15.068765681233932,-1.4249811024645143,13.0,9.0,9.0,6.0,17.0,0
545,2015,LLL,-19.72198615756436,-41.62457912457912,0.30124579124579126,6.0,9.0,5.0,2.0,7.0,0
546,2013,LLY,3.4521916122238734,11.677828868360278,0.6493580598012457,27.0,79.0,25.0,20.0,61.0,2
547,2014,LLY,-19.310504566497425,27.10986614349776,-0.5589796209587872,16.0,75.0,15.0,12.0,50.0,0
548,2015,LLY,-11.477313693094835,34.24889823788546,19.09376076762109,17.0,75.0,14.0,12.0,54.0,1
549,2014,LMT,-7.797970175380501,14.985101095530236,0.6566584395163952,106.0,12.0,13.0,9.0,13.0,2
550,2015,LMT,-13.703182739017095,17.714286058519797,9.624762091795812,116.0,11.0,12.0,9.0,8.0,1
551,2013,LNT,-11.781321656808267,7.394736919504643,0.6285526381578945,11.0,31.0,16.0,11.0,1.0,1
552,2014,LNT,-20.899810805486148,8.64378598265896,1.2138882053908029,11.0,31.0,16.0,12.0,5.0,0
553,2015,LNT,-6.409730620434983,9.675595312500002,-3.347755978124996,10.0,33.0,18.0,12.0,0.0,2
554,2014,LOW,-29.270745013253723,27.63784976635514,1.0379548023364484,19.0,35.0,8.0,4.0,6.0,0
555,2015,LOW,-5.600647730009664,26.837638191881915,1.0075885215899532,27.0,35.0,9.0,5.0,6.0,2
556,2016,LOW,-10.707238895830091,26.798534615384614,20.0,33.0,35.0,8.0,4.0,7.0,1
557,2014,LRCX,-8.476977675765628,17.500000260416666,0.0369873822538775,13.0,44.0,15.0,14.0,194.0,1
558,2015,LRCX,12.158105309868176,19.462287591240877,2.767969790754249,13.0,43.0,15.0,12.0,155.0,3
559,2016,LRCX,-16.202907199043192,16.14434747826087,0.404593098388123,16.0,44.0,18.0,16.0,282.0,1
560,2013,LUK,-6.053165099083763,24.39072336630841,-0.3517505146628775,4.0,21.0,4.0,4.0,93.0,2
561,2014,LUK,30.574769691638327,47.34259351851851,-0.9557844351851852,2.0,25.0,4.0,2.0,87.0,3
562,2015,LUK,20.65890517542656,26.72297364864865,0.7215202885135138,2.0,24.0,4.0,2.0,81.0,3
563,2014,LUV,-17.89745704089123,18.590909090909093,0.33400616332819744,17.0,59.0,12.0,6.0,50.0,1
