Period Ending,Ticker Symbol,After Tax ROE,Gross Margin,Operating Margin,Profit Margin,Cash Ratio
2015-12-31,CHD,20.0,45.0,20.0,12.0,38.0
2012-12-31,CHK,5.0,43.0,14.0,6.0,6.0
2013-12-31,CHK,5.0,32.0,11.0,4.0,17.0
2014-12-31,CHK,11.0,31.0,15.0,8.0,73.0
2012-12-31,CHRW,39.0,15.0,6.0,5.0,17.0
2013-12-31,CHRW,44.0,14.0,5.0,3.0,13.0
2014-12-31,CHRW,43.0,15.0,6.0,3.0,31.0
2015-12-31,CHRW,44.0,17.0,6.0,4.0,12.0
2013-12-31,CHTR,112.0,34.0,11.0,2.0,1.0
2014-12-31,CHTR,125.0,34.0,11.0,2.0,0.0
2015-12-31,CHTR,589.0,34.0,11.0,3.0,0.0
2016-12-31,CHTR,9.0,36.0,12.0,12.0,16.0
2012-12-31,CI,17.0,39.0,9.0,6.0,74.4574898785425
2013-12-31,CI,14.0,36.0,7.0,5.0,74.4574898785425
2014-12-31,CI,20.0,39.0,9.0,6.0,74.4574898785425
2015-12-31,CI,17.0,39.0,9.0,6.0,74.4574898785425
2012-12-31,CINF,8.0,15.0,14.0,10.0,74.4574898785425
2013-12-31,CINF,9.0,17.0,16.0,11.0,74.4574898785425
2014-12-31,CINF,8.0,16.0,15.0,11.0,74.4574898785425
2015-12-31,CINF,10.0,18.0,17.0,12.0,74.4574898785425
2012-12-31,CL,113.0,58.0,23.0,14.0,24.0
2013-12-31,CL,97.0,59.0,20.0,13.0,21.0
2014-12-31,CL,190.0,59.0,21.0,13.0,28.0
2015-12-31,CL,463.0,59.0,17.0,9.0,27.0
2013-06-30,CLX,392.0,43.0,18.0,10.0,26.0
2014-06-30,CLX,362.0,43.0,18.0,10.0,20.0
2015-06-30,CLX,492.0,44.0,18.0,10.0,27.0
2016-06-30,CLX,218.0,45.0,18.0,11.0,26.0
2013-12-31,CMA,8.0,0.0,0.0,20.0,74.4574898785425
